59,20,18,9,5,4,3,,,,
60,12,12,9,9,9,6,3,,,
61,15,15,8,8,6,5,4,,,
62,18,9,8,8,8,8,3,,,
63,21,12,7,7,6,6,4,,,
64,20,15,12,10,5,2,,,,
65,24,18,9,8,3,3,,,,
66,18,15,10,9,6,4,4,,,
67,35,14,5,5,4,4,,,,
68,28,21,6,6,4,3,,,,
69,20,15,10,8,8,5,3,,,
70,20,15,15,6,5,5,4,,,
71,20,15,12,10,6,5,3,,,
72,15,10,9,9,9,8,8,4,,
73,18,18,12,9,9,4,3,,,
74,15,12,10,9,9,9,6,4,,
75,15,12,12,10,10,6,5,5,,
76,30,12,10,8,8,5,3,,,
77,21,12,12,7,7,6,6,6,,
78,18,15,12,12,10,9,2,,,
79,15,15,12,12,10,5,5,5,,
80,20,20,18,9,5,5,3,,,
81,30,20,20,5,3,3,,,,
82,21,20,8,8,7,7,6,5,,
83,28,18,14,9,7,4,3,,,
84,42,9,9,9,7,4,4,,,
85,42,12,10,7,5,5,4,,,
86,28,21,15,10,4,4,4,,,
87,28,21,15,10,6,4,3,,,
88,24,24,20,6,6,5,3,,,
89,20,15,12,12,12,10,5,3,,
90,24,21,14,14,8,7,2,,,
91,30,15,12,12,6,6,5,5,,
92,28,18,14,9,7,6,6,4,,
93,24,16,16,15,15,5,2,,,
94,20,15,12,10,8,8,8,8,5,
95,35,14,12,12,6,6,5,5,,
96,24,24,15,12,6,5,5,5,,
97,24,24,15,10,10,5,5,4,,
98,28,21,15,10,10,5,5,4,,
99,28,21,14,12,7,7,7,3,,
100,30,20,12,10,10,10,5,3,,
101,30,21,20,7,7,6,6,4,,
102,36,18,15,12,6,5,5,5,,
103,30,21,15,15,7,7,4,4,,
104,52,13,13,13,6,4,3,,,
105,39,13,13,13,13,6,4,4,,
106,21,20,16,16,8,7,7,6,5,
107,33,22,20,11,6,6,5,4,,
108,54,27,12,9,4,2,,,,
109,33,22,21,11,7,7,4,4,,
110,33,22,11,8,8,8,8,6,6,
111,33,22,20,12,11,5,4,4,,
112,56,14,10,8,7,7,5,5,,
113,28,28,21,14,7,6,6,3,,
114,36,28,21,18,4,4,3,,,
115,36,28,21,18,6,3,3,,,
116,30,28,14,10,8,8,7,6,5,
117,40,18,15,9,8,8,8,6,5,
118,35,24,14,10,10,8,6,6,5,
119,35,24,14,12,8,8,8,5,5,
120,60,15,10,10,10,6,5,4,,
121,30,30,24,15,8,6,5,3,,
122,33,28,22,14,11,7,4,3,,
123,21,20,20,15,9,9,9,7,7,6
124,42,24,24,20,7,5,2,,,
125,42,21,20,8,8,7,7,7,5,
126,35,28,18,12,9,7,7,5,5,
127,35,28,20,10,10,7,7,5,5,
128,36,28,21,18,12,6,4,3,,
129,36,28,18,14,10,7,6,5,5,
130,35,30,24,8,7,7,7,7,5,
131,35,30,20,14,8,8,6,5,5,
132,33,33,15,11,11,11,10,4,4,
133,33,33,24,11,11,11,8,2,,
134,28,28,21,18,14,9,7,6,3,
135,28,21,21,18,12,9,7,7,6,6
136,40,28,16,16,14,7,5,5,5,
137,40,28,21,15,10,8,5,5,5,
138,36,33,22,18,12,11,3,3,,
139,36,33,22,11,9,9,8,8,3,
140,70,12,12,9,9,9,7,7,5,
141,70,12,12,12,8,8,7,7,5,
142,36,35,18,15,14,10,5,5,4,
143,36,35,18,14,12,10,10,5,3,
144,72,15,12,10,9,8,6,6,6,
145,72,15,10,9,9,9,9,8,4,
146,40,33,24,22,11,10,3,3,,
147,45,28,14,12,10,10,9,7,6,6
148,44,30,22,12,11,11,10,5,3,
149,54,27,20,12,12,9,6,5,4,
150,40,35,18,12,9,8,7,7,7,7
151,60,36,20,10,9,9,4,3,,
152,60,21,21,20,14,10,3,3,,
153,60,21,20,15,10,10,7,7,3,
154,60,20,18,15,12,12,9,5,3,
155,60,20,20,15,12,10,10,5,3,
156,60,24,16,16,12,10,10,5,3,
157,60,21,15,12,10,10,10,7,7,5
158,60,18,15,12,12,12,10,9,5,5
159,60,30,15,12,12,12,10,5,3,
160,60,30,15,15,12,10,10,5,3,
161,60,30,20,15,15,6,5,5,5,
162,60,21,21,15,14,12,12,4,3,
163,60,28,21,20,15,12,5,2,,
164,60,30,20,20,15,12,5,2,,
165,60,28,21,18,15,9,6,4,4,
166,60,30,20,18,15,9,6,4,4,
167,60,30,20,18,15,9,6,6,3,
168,60,30,18,18,18,8,8,5,3,
169,60,30,24,18,12,9,8,5,3,
170,60,30,20,20,15,12,5,4,4,
171,60,30,20,20,15,12,6,5,3,
172,60,24,24,20,18,10,9,4,3,
173,60,30,21,21,14,10,10,4,3,
174,60,42,15,15,15,12,7,5,3,
175,60,36,18,18,15,12,9,4,3,
176,60,20,20,18,15,15,9,8,8,3
177,60,20,20,18,15,15,12,9,4,4
178,60,24,18,16,16,15,12,9,4,4
179,60,21,21,16,16,15,14,8,4,4
180,60,30,15,15,15,15,15,6,5,4
181,60,36,18,18,18,18,5,5,3,
182,60,36,20,20,18,15,5,5,3,
183,60,28,28,20,15,7,7,7,6,5
184,60,20,18,18,18,18,15,9,5,3
185,60,30,28,20,14,8,8,7,5,5
186,60,36,21,18,18,9,7,7,5,5
187,60,40,21,16,16,10,7,7,5,5
188,60,42,20,20,12,10,7,6,6,5
189,60,30,18,16,16,16,16,9,5,3
190,60,35,21,21,18,10,9,7,5,4
191,60,33,22,20,20,11,10,6,5,4
192,60,28,24,24,20,14,7,5,5,5
193,60,28,24,24,21,20,10,3,3,
