101,24,16,16,9,9,9,6,6,6,,,,,,
106,24,24,9,9,9,9,9,9,4,,,,,,
111,36,36,9,6,6,6,6,6,,,,,,,
116,84,14,6,4,4,4,,,,,,,,,
121,11,11,11,11,11,11,11,11,11,11,11,,,,
126,84,14,6,6,6,6,4,,,,,,,,
131,24,24,24,24,9,9,9,4,4,,,,,,
136,44,11,11,11,11,11,11,11,11,4,,,,,
141,84,14,9,9,9,6,6,4,,,,,,,
146,16,16,16,16,16,16,16,16,6,6,6,,,,
151,56,24,21,14,14,6,6,6,4,,,,,,
156,84,14,9,9,9,9,9,9,4,,,,,,
161,56,21,16,16,14,14,6,6,6,6,,,,,
166,84,24,24,14,6,6,4,4,,,,,,,
171,66,11,11,11,11,11,11,11,11,11,6,,,,
176,126,21,9,6,6,4,4,,,,,,,,
181,84,24,24,14,9,9,9,4,4,,,,,,
186,126,21,9,6,6,6,6,6,,,,,,,
191,126,21,9,9,9,9,4,4,,,,,,,
196,56,21,21,21,21,16,16,6,6,6,6,,,,
201,126,21,9,9,9,9,6,6,6,,,,,,
206,114,19,19,19,9,9,9,4,4,,,,,,
211,84,21,21,21,21,21,6,6,6,4,,,,,
216,144,24,16,9,9,6,4,4,,,,,,,
221,66,24,16,16,11,11,11,11,11,11,11,11,11,,
226,176,16,11,11,4,4,4,,,,,,,,
231,126,14,14,14,9,9,9,9,9,9,9,,,,
236,176,16,11,11,6,6,6,4,,,,,,,
241,171,19,19,9,9,6,4,4,,,,,,,
246,56,24,21,21,21,21,16,16,16,16,6,6,6,,
251,176,16,11,11,9,9,9,6,4,,,,,,
256,144,24,16,9,9,9,9,9,9,9,9,,,,
261,84,24,24,21,21,21,21,21,6,6,6,6,,,
266,171,19,19,9,9,9,9,9,6,6,,,,,
271,84,24,24,14,14,14,14,14,14,14,14,9,9,9,
276,231,14,11,6,6,4,4,,,,,,,,
281,171,19,19,9,9,9,9,9,9,9,9,,,,
286,231,14,11,6,6,6,6,6,,,,,,,
291,231,14,11,9,9,9,4,4,,,,,,,
296,176,16,16,16,16,16,11,11,6,6,6,,,,
301,231,14,11,9,9,9,6,6,6,,,,,,
306,171,24,24,19,19,9,9,9,9,9,4,,,,
311,176,16,16,16,16,16,11,11,9,9,9,6,,,
316,231,14,11,9,9,9,9,9,9,6,,,,,
321,154,21,21,21,21,11,11,11,11,11,11,11,6,,
326,231,24,24,14,11,6,6,6,4,,,,,,
331,171,21,19,19,14,14,14,14,9,9,9,9,9,,
336,231,24,16,16,14,11,6,6,6,6,,,,,
341,231,24,24,14,11,9,9,9,6,4,,,,,
346,176,24,16,16,16,16,16,16,16,11,11,6,6,,
351,264,24,11,11,11,11,11,4,4,,,,,,
356,171,24,24,24,24,19,19,9,9,9,9,9,6,,
361,264,24,11,11,11,11,11,6,6,6,,,,,
366,231,24,16,16,14,11,9,9,9,9,9,9,,,
371,231,21,21,21,21,21,11,6,6,6,6,,,,
376,264,24,11,11,11,11,11,9,9,9,6,,,,
381,231,14,14,14,14,14,14,14,14,11,9,9,9,,
386,231,21,21,21,21,21,11,9,9,9,6,6,,,
391,266,21,19,19,19,19,14,6,4,4,,,,,
396,231,16,16,16,16,16,16,16,16,14,11,6,6,,
401,266,21,19,19,19,19,14,6,6,6,6,,,,
406,266,19,19,19,19,14,14,14,14,4,4,,,,
411,264,24,24,16,16,11,11,11,11,11,6,6,,,
416,336,24,16,14,14,4,4,4,,,,,,,
421,264,16,16,16,16,16,16,11,11,11,11,11,6,,
426,336,24,16,14,14,6,6,6,4,,,,,,
431,266,21,19,19,19,19,14,9,9,9,9,9,9,,
436,336,16,16,16,14,14,6,6,6,6,,,,,
441,336,24,16,14,14,9,9,9,6,4,,,,,
446,231,24,16,16,16,16,16,16,16,16,16,16,14,11,6
451,336,16,16,16,14,14,9,9,9,6,6,,,,
456,266,24,24,21,19,19,19,19,14,9,9,9,4,,
461,336,24,21,21,21,16,6,6,6,4,,,,,
466,336,16,16,16,14,14,9,9,9,9,9,9,,,
471,336,21,21,21,16,16,16,6,6,6,6,,,,
476,336,24,24,24,16,14,14,6,6,6,6,,,,
481,266,24,19,19,19,19,16,16,14,14,14,14,9,9,9
486,396,11,11,11,11,11,11,11,9,4,,,,,
